comments,professor_name,school_name,department_name,gender,sentences
She made it easy to give speeches in class. Loved how she made us do warmups on speech day.,Diane  Reid,Indiana University Southeast,Communication department,male,"['She made it easy to give speeches in class.', 'Loved how she made us do warmups on speech day.']"
"She\'s freaking awesome!! She\'s super enthusiastic, so there\'s never a dull moment. She seems to really care about her students. I really enjoy her class and would recommend her to anyone.",Diane  Reid,Indiana University Southeast,Communication department,male,"[""She\\'s freaking awesome!"", '!', ""She\\'s super enthusiastic, so there\\'s never a dull moment."", 'She seems to really care about her students.', 'I really enjoy her class and would recommend her to anyone.']"
"Very sweet lady. She is caring and wants to help you. The class itself is fun. Only thing I would change is to not have pop quizzes, but its college, so that\'s kind of silly.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Very sweet lady.', 'She is caring and wants to help you.', 'The class itself is fun.', ""Only thing I would change is to not have pop quizzes, but its college, so that\\'s kind of silly.""]"
"Awesome professor who cares about her students, she understands that everyone isn\'t comfortable speaking in front of people. Very tough grader though, only class i couldn\'t get an A in. Be prepared to work!!",Diane  Reid,Indiana University Southeast,Communication department,male,"[""Awesome professor who cares about her students, she understands that everyone isn\\'t comfortable speaking in front of people."", ""Very tough grader though, only class i couldn\\'t get an A in."", 'Be prepared to work!', '!']"
"She isn\'t a fair grader. She\'s offends her students. Honestly, there are way better professors to take rather than her. Maybe outside of class sea better, but probably not. She divorced and angry it seems like.",Diane  Reid,Indiana University Southeast,Communication department,male,"[""She isn\\'t a fair grader."", ""She\\'s offends her students."", 'Honestly, there are way better professors to take rather than her.', 'Maybe outside of class sea better, but probably not.', 'She divorced and angry it seems like.']"
I had Reid for S121 and freshman seminar. Reid was a very understanding and amazing professor. She knew that people got jitters speaking in front of crowds and wouldn\'t penalize you for it. She could tell who put work into their speech and she would grade accordingly. Always asked questions about your topic and was interested. Great Professor.,Diane  Reid,Indiana University Southeast,Communication department,male,"['I had Reid for S121 and freshman seminar.', 'Reid was a very understanding and amazing professor.', ""She knew that people got jitters speaking in front of crowds and wouldn\\'t penalize you for it."", 'She could tell who put work into their speech and she would grade accordingly.', 'Always asked questions about your topic and was interested.', 'Great Professor.']"
"She is great! Very helpful and so enthusiastic about her job. She made the class very fun to be in! Has quizzes about what you talked about in the class the day before, has great study guides as well.",Diane  Reid,Indiana University Southeast,Communication department,male,"['She is great!', 'Very helpful and so enthusiastic about her job.', 'She made the class very fun to be in!', 'Has quizzes about what you talked about in the class the day before, has great study guides as well.']"
"She is one of the best professors on campus. For someone who did NOT want to take a speech class/ interpersonal communication class, she is very understanding of that. The goal is not to embarrass you or call you out but to really help you learn. I would def recommend to anyone. Also, I took her class before and she still remembers me on campus!",Diane  Reid,Indiana University Southeast,Communication department,male,"['She is one of the best professors on campus.', 'For someone who did NOT want to take a speech class/ interpersonal communication class, she is very understanding of that.', 'The goal is not to embarrass you or call you out but to really help you learn.', 'I would def recommend to anyone.', 'Also, I took her class before and she still remembers me on campus!']"
"Amazing professor! While attendance is not mandatory, there is usually an assignment of some sort(hw, quiz etc.) that is due every class that can not be made up. Very fair. Be prepared to earn your grade.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Amazing professor!', 'While attendance is not mandatory, there is usually an assignment of some sort(hw, quiz etc.', ') that is due every class that can not be made up.', 'Very fair.', 'Be prepared to earn your grade.']"
Is a good teacher but when it comes to speechs she is a tough grader. Everything has to be perfect for you to get an A. If you are looking for an easy A don\'t take this professor,Diane  Reid,Indiana University Southeast,Communication department,male,"['Is a good teacher but when it comes to speechs she is a tough grader.', ""Everything has to be perfect for you to get an A. If you are looking for an easy A don\\'t take this professor""]"
"Professor Reid is a very nice lady. You do have to study, but it doesn\'t take too much effort. Her class was interesting and can help with day to day life. I enjoyed her class. She is funny.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Professor Reid is a very nice lady.', ""You do have to study, but it doesn\\'t take too much effort."", 'Her class was interesting and can help with day to day life.', 'I enjoyed her class.', 'She is funny.']"
"Lots of reading in the book. Tests were fairly easy. Professor Reid is amazing! She made the class fun and enjoyable! We got to choose our own topics and the selections were great. There is some work to do and turn in for speeches, planning reports and preparation outlines, but they\'re easy once you know what you\'re going to talk about.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Lots of reading in the book.', 'Tests were fairly easy.', 'Professor Reid is amazing!', 'She made the class fun and enjoyable!', 'We got to choose our own topics and the selections were great.', ""There is some work to do and turn in for speeches, planning reports and preparation outlines, but they\\'re easy once you know what you\\'re going to talk about.""]"
"Great teacher. She really explains the materials well. As long as you attend her class and pay attention to her lectures, you\'ll do great on the tests.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Great teacher.', 'She really explains the materials well.', ""As long as you attend her class and pay attention to her lectures, you\\'ll do great on the tests.""]"
"not an easy a, must do everything to a T to do well. she plays favorites and i was definitely not one. my advice would be to get on her good side and you should do well.",Diane  Reid,Indiana University Southeast,Communication department,male,"['not an easy a, must do everything to a T to do well.', 'she plays favorites and i was definitely not one.', 'my advice would be to get on her good side and you should do well.']"
Her class was simple. So simple it was completely boring. Everything is common sense and nothing deeper. If you want a simple class that is uninspiring then it might work for you. I did appreciate the 6 absences policy.,Diane  Reid,Indiana University Southeast,Communication department,male,"['Her class was simple.', 'So simple it was completely boring.', 'Everything is common sense and nothing deeper.', 'If you want a simple class that is uninspiring then it might work for you.', 'I did appreciate the 6 absences policy.']"
"I would definitely recommend this professor. Took her inter comm class and got an A out of it. Although she is friendly and fun in class, do take her deadlines seriously.",Diane  Reid,Indiana University Southeast,Communication department,male,"['I would definitely recommend this professor.', 'Took her inter comm class and got an A out of it.', 'Although she is friendly and fun in class, do take her deadlines seriously.']"
"GREAT Professor. She turns an intimidating class into one that you might actually look forward to. Great classroom environment, she is incredibly helpful and a great person but she does have her rules about attendance, format, etc. If you do all the work and pay attention to detail, you can pass even if your speeches aren\'t great. Take her!",Diane  Reid,Indiana University Southeast,Communication department,male,"['GREAT Professor.', 'She turns an intimidating class into one that you might actually look forward to.', 'Great classroom environment, she is incredibly helpful and a great person but she does have her rules about attendance, format, etc.', ""If you do all the work and pay attention to detail, you can pass even if your speeches aren\\'t great."", 'Take her!']"
"Superb professor. Very helpful and inspirational. If you pay attention and work hard in and out of class you can and should be a better speaker by the end. Sadly, only four speeches. There were some tape recorded assignments, some paper assignments, quizzes and two tests. Paper work is cake if you study. Study, practice, practice, study, practice.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Superb professor.', 'Very helpful and inspirational.', 'If you pay attention and work hard in and out of class you can and should be a better speaker by the end.', 'Sadly, only four speeches.', 'There were some tape recorded assignments, some paper assignments, quizzes and two tests.', 'Paper work is cake if you study.', 'Study, practice, practice, study, practice.']"
"Great professor for learning, but needs to be more lenient for a 100 level course. Grades a little too hard on speeches and assigns way too many other assignments and papers besides the speech itself.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Great professor for learning, but needs to be more lenient for a 100 level course.', 'Grades a little too hard on speeches and assigns way too many other assignments and papers besides the speech itself.']"
"Reid is a nice overall lady, but for a 100 level course, the material and work is absurd. If possible take another prof. Tons of busy work.",Diane  Reid,Indiana University Southeast,Communication department,male,"['Reid is a nice overall lady, but for a 100 level course, the material and work is absurd.', 'If possible take another prof.', 'Tons of busy work.']"
You show JC the effort and he will respect you back. There is a lot of knowledge in his head and a genuine interest in the students. Once you demonstrate your commitment you\'ll be freed to take your creations as far as you want to.,John  Cunningham,Skidmore College,Fine Arts department,male,"['You show JC the effort and he will respect you back.', 'There is a lot of knowledge in his head and a genuine interest in the students.', ""Once you demonstrate your commitment you\\'ll be freed to take your creations as far as you want to.""]"
"His enthusiasm was contagious, and I even appreciated his quirks. I still display those brass and copper mobiles in my living room. Judging from the other ratings, I was very lucky to get on his good side.",John  Cunningham,Skidmore College,Fine Arts department,male,"['His enthusiasm was contagious, and I even appreciated his quirks.', 'I still display those brass and copper mobiles in my living room.', 'Judging from the other ratings, I was very lucky to get on his good side.']"
So confusing because he says he wants you to be creative but then shoots down your ideas. He tells you exactly how he wants it done even though its your art. No real free will in the class. You basically are only learning his style of art.,John  Cunningham,Skidmore College,Fine Arts department,male,"['So confusing because he says he wants you to be creative but then shoots down your ideas.', 'He tells you exactly how he wants it done even though its your art.', 'No real free will in the class.', 'You basically are only learning his style of art.']"
"JC is an interesting guy but a TERRIBLE TEACHER. Makes you feel like you have to do what he wants on your own projects, says everything should be simple but then ""wishes you had put more effort in"" when the finished project isn\'t elaborate. Spends forever explaining. Gave me B+ though I followed his directions exactly and took all his suggestions.",John  Cunningham,Skidmore College,Fine Arts department,male,"['JC is an interesting guy but a TERRIBLE TEACHER.', 'Makes you feel like you have to do what he wants on your own projects, says everything should be simple but then ""wishes you had put more effort in"" when the finished project isn\\\'t elaborate.', 'Spends forever explaining.', 'Gave me B+ though I followed his directions exactly and took all his suggestions.']"
Whoa. This man is kind of crazy. Expect to put A LOT of work into his class and not really understand what he is saying. Does not believe in grade inflation like the rest of the world.,John  Cunningham,Skidmore College,Fine Arts department,male,"['Whoa.', 'This man is kind of crazy.', 'Expect to put A LOT of work into his class and not really understand what he is saying.', 'Does not believe in grade inflation like the rest of the world.']"
"I love JC. It\'s obvious that he loves what he does and is always really excited about it. I know sometimes it seems that he wants to implement his ideas on the students, but he really does know what he\'s talking about. He really wants his students to do well and he\'s always there fore support and guidance. I find him hilarious... he does too.",John  Cunningham,Skidmore College,Fine Arts department,male,"['I love JC.', ""It\\'s obvious that he loves what he does and is always really excited about it."", ""I know sometimes it seems that he wants to implement his ideas on the students, but he really does know what he\\'s talking about."", ""He really wants his students to do well and he\\'s always there fore support and guidance."", 'I find him hilarious...', 'he does too.']"
"At the lower levels, Form and Space, JC was confusing and frustrating to have as a teacher. However, I found him to be a great guy and an even better professor when he is teaching a smaller and more advanced class. Although boring at times, he teaches technical aspects to sculpture that cannot be matched. If you do the work, you will be rewarded",John  Cunningham,Skidmore College,Fine Arts department,male,"['At the lower levels, Form and Space, JC was confusing and frustrating to have as a teacher.', 'However, I found him to be a great guy and an even better professor when he is teaching a smaller and more advanced class.', 'Although boring at times, he teaches technical aspects to sculpture that cannot be matched.', 'If you do the work, you will be rewarded']"
"Played favorites - would spend 15 minutes helping one person and 1 minute helping another, always said he wanted your creation to be ""simple"" but always favored the elaborate projects, acted as if projects were very open-ended but then acted as if they had to be done his way",John  Cunningham,Skidmore College,Fine Arts department,male,"['Played favorites - would spend 15 minutes helping one person and 1 minute helping another, always said he wanted your creation to be ""simple"" but always favored the elaborate projects, acted as if projects were very open-ended but then acted as if they had to be done his way']"
"Has a problem accepting other people\'s ideas. Loves work to be geared toward engineering appearance and simplistic. Hates color and extravagant projects. Then again, he has big expectations for every project and spends hours elaborating on how he wants it done exactly.",John  Cunningham,Skidmore College,Fine Arts department,male,"[""Has a problem accepting other people\\'s ideas."", 'Loves work to be geared toward engineering appearance and simplistic.', 'Hates color and extravagant projects.', 'Then again, he has big expectations for every project and spends hours elaborating on how he wants it done exactly.']"
No Comments,John  Cunningham,Skidmore College,Fine Arts department,male,['No Comments']
"As long as you do exactly what he wants you to do on YOUR pieces, he is fine. Huge Ego- worst teacher I ever had!I think he ""fabricated"" the pyramids, or something.",John  Cunningham,Skidmore College,Fine Arts department,male,"['As long as you do exactly what he wants you to do on YOUR pieces, he is fine.', 'Huge Ego- worst teacher I ever had!', 'I think he ""fabricated"" the pyramids, or something.']"
Didn\'t he discover how the pyramids were built or something?,John  Cunningham,Skidmore College,Fine Arts department,male,"[""Didn\\'t he discover how the pyramids were built or something?""]"
Didn\'t he discover how the pyramids were built or something?,John  Cunningham,Skidmore College,Fine Arts department,male,"[""Didn\\'t he discover how the pyramids were built or something?""]"
i really didn\'t like the class because when i tried to come up with ideas - mine were shot down and he gave me a new one i felt like i had to go with.... anyways i did alright in the class but i wasn\'t happy with the way he guided my ideas so much,John  Cunningham,Skidmore College,Fine Arts department,male,"[""i really didn\\'t like the class because when i tried to come up with ideas - mine were shot down and he gave me a new one i felt like i had to go with...."", ""anyways i did alright in the class but i wasn\\'t happy with the way he guided my ideas so much""]"
Awful -moody and plays favorites.,John  Cunningham,Skidmore College,Fine Arts department,male,['Awful -moody and plays favorites.']
No Comments,John  Cunningham,Skidmore College,Fine Arts department,male,['No Comments']
"do not be fooled by his seemingly nice appearance, he is an evil, self-absorbed, tyrant. professor galt is much better and more open-minded.",John  Cunningham,Skidmore College,Fine Arts department,male,"['do not be fooled by his seemingly nice appearance, he is an evil, self-absorbed, tyrant.', 'professor galt is much better and more open-minded.']"
hard to get used to... but knows his stuff and will help you more than any other skiddie art prof,John  Cunningham,Skidmore College,Fine Arts department,male,"['hard to get used to...', 'but knows his stuff and will help you more than any other skiddie art prof']"
"Worst art teacher I have ever had. Loved himself. Discouraged all creativity. We disagreed on one project and he was unbeleviably rude to me, and because of our disagreement he almost failed me.\r DONT EVER TAKE A CLASS WITH THIS TEACHER.\r Awful. Im and art major, and I have never been so disgusted.",John  Cunningham,Skidmore College,Fine Arts department,male,"['Worst art teacher I have ever had.', 'Loved himself.', 'Discouraged all creativity.', 'We disagreed on one project and he was unbeleviably rude to me, and because of our disagreement he almost failed me.', '\\r DONT EVER TAKE A CLASS WITH THIS TEACHER.', '\\r Awful.', 'Im and art major, and I have never been so disgusted.']"
excellent,John  Cunningham,Skidmore College,Fine Arts department,male,['excellent']
"I studied more for this one class than all my classes combined and I am a pharmacy major. I received the highest grades on the midterm and final out of 12 people in the class and he still gave me a B! how does anyone get an A? Im glad I heard he left or hopefully fired. He does not care about the students, yet about boosting his ego.",Clark,Long Island University,Physics department,male,"['I studied more for this one class than all my classes combined and I am a pharmacy major.', 'I received the highest grades on the midterm and final out of 12 people in the class and he still gave me a B!', 'how does anyone get an A?', 'Im glad I heard he left or hopefully fired.', 'He does not care about the students, yet about boosting his ego.']"
"Because of this professor I am suffering from depression :\'( PLease switch as soon as possible.. in the begining of the semester, I came on this site to check his ratings.. I though, HEY maybe he is not bad.. I will give him a chance.. GOD, only If I had dropped the class in the begining, I wouldn\'t have an ""F"" on my transcript :\'(",Clark,Long Island University,Physics department,male,"[""Because of this professor I am suffering from depression :\\'( PLease switch as soon as possible.."", 'in the begining of the semester, I came on this site to check his ratings..', 'I though, HEY maybe he is not bad..', 'I will give him a chance..', 'GOD, only If I had dropped the class in the begining, I wouldn\\\'t have an ""F"" on my transcript :\\\'(']"
"I usually don\'t listen to what people say on this thing... but what they say about him is right! Everytime I think about this ""teacher"" I get a weird headache and I feel depressed or angry I don\'t even now. No Joke. Try your best to switch out.",Clark,Long Island University,Physics department,male,"[""I usually don\\'t listen to what people say on this thing..."", 'but what they say about him is right!', 'Everytime I think about this ""teacher"" I get a weird headache and I feel depressed or angry I don\\\'t even now.', 'No Joke.', 'Try your best to switch out.']"
"Please, just whatever you do.. DO NOT under any cirumstances take this professor.. He is a very difficult teacher.. he wants you to"" THINK LIKE A PHYSICIST"" the problem is that WE students can\'t think like a PHYSICISTS. because DUH!!!!!!!!! we are not PHYSICISTS..",Clark,Long Island University,Physics department,male,"['Please, just whatever you do..', 'DO NOT under any cirumstances take this professor..', 'He is a very difficult teacher..', 'he wants you to"" THINK LIKE A PHYSICIST"" the problem is that WE students can\\\'t think like a PHYSICISTS.', 'because DUH!', '!', '!', '!', '!', '!', '!', '!', '!', 'we are not PHYSICISTS..']"
He doesn\'t teach you besides his own theoretical/proof crap that doesn\'t make any sense. You must learn on your own with the textbook but must follow his own way of teaching. He doesn\'t help you at all in the lab and claims that he has no office hours. His questions are similar to the textbook on the midterm but the final is a diff case. Final say:,Clark,Long Island University,Physics department,male,"[""He doesn\\'t teach you besides his own theoretical/proof crap that doesn\\'t make any sense."", 'You must learn on your own with the textbook but must follow his own way of teaching.', ""He doesn\\'t help you at all in the lab and claims that he has no office hours."", 'His questions are similar to the textbook on the midterm but the final is a diff case.', 'Final say:']"
"He is crazy, he wants to learn a chapter a week. The midterm was six question for 8 chapters and the final 8 questions for 12 to 15 chapters. if it is not done the format he wants it to be it is wrong no matter what. Please Stay away. Any teacher is better than him trust me especially for pharmacy majors. You will end up repeating it again.",Clark,Long Island University,Physics department,male,"['He is crazy, he wants to learn a chapter a week.', 'The midterm was six question for 8 chapters and the final 8 questions for 12 to 15 chapters.', 'if it is not done the format he wants it to be it is wrong no matter what.', 'Please Stay away.', 'Any teacher is better than him trust me especially for pharmacy majors.', 'You will end up repeating it again.']"
"Pharmacy Majors !Wrong Guy! Take somebody else, especialy if you have to take organic chemistry with this class.",Clark,Long Island University,Physics department,male,"['Pharmacy Majors !', 'Wrong Guy!', 'Take somebody else, especialy if you have to take organic chemistry with this class.']"
"He is very easy. He always tries to scare his student at the beggining, but just like the NAZI regime fell so will he and in the process I got an A. Dont let him intimidate you. Also I dropped the class after I found out he was teaching so you should do the same.",Clark,Long Island University,Physics department,male,"['He is very easy.', 'He always tries to scare his student at the beggining, but just like the NAZI regime fell so will he and in the process I got an A. Dont let him intimidate you.', 'Also I dropped the class after I found out he was teaching so you should do the same.']"
No Comments,Clark,Long Island University,Physics department,male,['No Comments']
very hard teacher hard to pass most you can get is B exams are very difficult.,Clark,Long Island University,Physics department,male,['very hard teacher hard to pass most you can get is B exams are very difficult.']
HE IS SO ANAL...GO BACK TO BOSTON...WE DONT NEED U...UR SUPPOSED TO BE A TEACHER...YET WE ARE NOT LEARING ANYTHING...MAN U DONT HAVE PASSION IN WHT U DO...I THINK U SHOULD RETIRE...OR REBORN,Clark,Long Island University,Physics department,male,"['HE IS SO ANAL...', 'GO BACK TO BOSTON...', 'WE DONT NEED U...', 'UR SUPPOSED TO BE A TEACHER...', 'YET WE ARE NOT LEARING ANYTHING...', 'MAN U DONT HAVE PASSION IN WHT U DO...', 'I THINK U SHOULD RETIRE...', 'OR REBORN']"
"Hardest teacher, doesn\'t help his students... only 2 students out of 30 actually took the final in his class.. don\'t take him",Clark,Long Island University,Physics department,male,"[""Hardest teacher, doesn\\'t help his students..."", 'only 2 students out of 30 actually took the final in his class..', ""don\\'t take him""]"
"AWFUL WOMAN!!!extremely unfair and partial to stushe her ""favorites"" and totally fake. Never take her if possible.",Sally  Mallory,University of Pennsylvania,Chemistry department,mostly_female,"['AWFUL WOMAN!', '!', '!', 'extremely unfair and partial to stushe her ""favorites"" and totally fake.', 'Never take her if possible.']"
Dr. Mallory is a great teacher. She is genuinely interested in all her students and makes it a point to learn everyone\'s name in the entire orgo lab.,Sally  Mallory,University of Pennsylvania,Chemistry department,mostly_female,"['Dr. Mallory is a great teacher.', ""She is genuinely interested in all her students and makes it a point to learn everyone\\'s name in the entire orgo lab.""]"
"Orgo lab takes ALOT OF TIME. Just a credit and you spend 6 to 9 hours in lab. Lab reports are lengthy and requires alot of work. Also, exams every few labs. Difficult to keep up with lab and exams. Take this single lab and no other lab!!!",Sally  Mallory,University of Pennsylvania,Chemistry department,mostly_female,"['Orgo lab takes ALOT OF TIME.', 'Just a credit and you spend 6 to 9 hours in lab.', 'Lab reports are lengthy and requires alot of work.', 'Also, exams every few labs.', 'Difficult to keep up with lab and exams.', 'Take this single lab and no other lab!', '!', '!']"
"Terrible professor, not clear, includes too much information, unwilling to listen to questions in class.",Rich  Carter,Oregon State University,Chemistry department,male,"['Terrible professor, not clear, includes too much information, unwilling to listen to questions in class.']"
"His class is fun and interesting. The test is fair. Every thing is covered during lectures. Overall, he is a great teacher. I would recommand him for anyone.",Rich  Carter,Oregon State University,Chemistry department,male,"['His class is fun and interesting.', 'The test is fair.', 'Every thing is covered during lectures.', 'Overall, he is a great teacher.', 'I would recommand him for anyone.']"
"He is awesome! I love going to his class every day. I know some people say he goes very fast, but he takes the time to answer questions and makes sure that every body is clear. Because he talks fast, his class keeps me focused and alert and excited! As long as you take the time after class to look through the material, you would do great!!",Rich  Carter,Oregon State University,Chemistry department,male,"['He is awesome!', 'I love going to his class every day.', 'I know some people say he goes very fast, but he takes the time to answer questions and makes sure that every body is clear.', 'Because he talks fast, his class keeps me focused and alert and excited!', 'As long as you take the time after class to look through the material, you would do great!', '!']"
"He expects way too much: 73 mechanisms for the final, are you kidding me? He does not realize that it\'s impossible to test everything on an exam. He will have a question about EVERYTHING! Very few people finish the tests in time because they are excessively difficult. And he goes over info in his lectures way too fast. Too bad he is the only choice",Rich  Carter,Oregon State University,Chemistry department,male,"['He expects way too much: 73 mechanisms for the final, are you kidding me?', ""He does not realize that it\\'s impossible to test everything on an exam."", 'He will have a question about EVERYTHING!', 'Very few people finish the tests in time because they are excessively difficult.', 'And he goes over info in his lectures way too fast.', 'Too bad he is the only choice']"
This guy is an absolute amazing professor! He taught the subject so well and I learned more in one day of his lecture then a whole term with Walker. The best O Chem professor at OSU but not the easiest.,Rich  Carter,Oregon State University,Chemistry department,male,"['This guy is an absolute amazing professor!', 'He taught the subject so well and I learned more in one day of his lecture then a whole term with Walker.', 'The best O Chem professor at OSU but not the easiest.']"
"Overall, a good teacher. He does notes via chalkboard though, and doesn\'t post slides on Blackboard. So basically, you have to go to class. People say that he ""crams you with mechanism information"", but that is what O-Chem is. Chemical mechanisms. I thought he did a very good job teaching difficult material. Definitely buy the book though.",Rich  Carter,Oregon State University,Chemistry department,male,"['Overall, a good teacher.', ""He does notes via chalkboard though, and doesn\\'t post slides on Blackboard."", 'So basically, you have to go to class.', 'People say that he ""crams you with mechanism information"", but that is what O-Chem is.', 'Chemical mechanisms.', 'I thought he did a very good job teaching difficult material.', 'Definitely buy the book though.']"
Good teacher. Attend class and take good notes. Im pretty sure he drinks 5 red bulls before lecture b/c he goes(literally) 150mph during lecture.,Rich  Carter,Oregon State University,Chemistry department,male,"['Good teacher.', 'Attend class and take good notes.', 'Im pretty sure he drinks 5 red bulls before lecture b/c he goes(literally) 150mph during lecture.']"
"As far as his teaching ability goes, it is not too bad, Dr. Carter is very experienced in the field. However his requirements are ridiculous, asks direct questions from previous terms, it is extremely hard to even pass the class. I do not recommend him.",Rich  Carter,Oregon State University,Chemistry department,male,"['As far as his teaching ability goes, it is not too bad, Dr. Carter is very experienced in the field.', 'However his requirements are ridiculous, asks direct questions from previous terms, it is extremely hard to even pass the class.', 'I do not recommend him.']"
I did terrible in organic chemistry the first time I took the course. I took it again with Dr. Carter and I got an A! Mechanisms are a HUGE part of 331. He always asked students if he needed to slow down and no one spoke up. He was always willing to help and made it interesting. BEST organic chemistry professor! Take his class!,Rich  Carter,Oregon State University,Chemistry department,male,"['I did terrible in organic chemistry the first time I took the course.', 'I took it again with Dr. Carter and I got an A!', 'Mechanisms are a HUGE part of 331.', 'He always asked students if he needed to slow down and no one spoke up.', 'He was always willing to help and made it interesting.', 'BEST organic chemistry professor!', 'Take his class!']"
"Talks too fast for lectures, tries to be funny but isn\'t, grades tough on exams, limited office hours and overall not recommended",Rich  Carter,Oregon State University,Chemistry department,male,"[""Talks too fast for lectures, tries to be funny but isn\\'t, grades tough on exams, limited office hours and overall not recommended""]"
He thinks cramming a whole bunch of mechanisms is the way of learning o-chem. Lack of clear explanation and talks in light speed. He grades hard too. Not recommended.,Rich  Carter,Oregon State University,Chemistry department,male,"['He thinks cramming a whole bunch of mechanisms is the way of learning o-chem.', 'Lack of clear explanation and talks in light speed.', 'He grades hard too.', 'Not recommended.']"
"First \'D\' i\'ve ever received. Worked hard, but his use of blackboard and no lecture notes killed me. By the time I was done copying off the board he had explained the concept and moved on to the next one. Took Myles the next term and got a B.",Rich  Carter,Oregon State University,Chemistry department,male,"[""First \\'D\\' i\\'ve ever received."", 'Worked hard, but his use of blackboard and no lecture notes killed me.', 'By the time I was done copying off the board he had explained the concept and moved on to the next one.', 'Took Myles the next term and got a B.']"
Best Organic Chemistry teacher at Oregon State!!,Rich  Carter,Oregon State University,Chemistry department,male,"['Best Organic Chemistry teacher at Oregon State!', '!']"
"Professor Carter is a great professor if you\'re willing to work hard. Lectures consist mostly of taking notes as Dr. Carter writes them on the board, but occasionally he will tell stories related to what he\'s teaching. He\'s very consistent in making sure that if we learn something one way, he tests us that way. Great professor, and very helpful.",Rich  Carter,Oregon State University,Chemistry department,male,"[""Professor Carter is a great professor if you\\'re willing to work hard."", ""Lectures consist mostly of taking notes as Dr. Carter writes them on the board, but occasionally he will tell stories related to what he\\'s teaching."", ""He\\'s very consistent in making sure that if we learn something one way, he tests us that way."", 'Great professor, and very helpful.']"
